,actual,x,y,w,h,fg,t_x,t_y,t_w,t_h
0,12.0,636.0,391.0,103.0,142.0,1.0,-0.021834061135371178,-0.021645021645021644,-0.709220603683302,-0.5951582678270447
1,12.0,629.0,432.0,80.0,70.0,1.0,0.004484304932735426,-0.032119914346895075,-0.3446481713874459,0.4253058347326708
2,12.0,644.0,391.0,95.0,142.0,1.0,-0.027496382054992764,-0.021645021645021644,-0.5925756848310315,-0.5951582678270447
3,12.0,602.0,433.0,102.0,55.0,1.0,0.02909647779479326,-0.017391304347826087,-0.6951454184715791,0.7732291381529777
4,12.0,611.0,433.0,93.0,49.0,1.0,0.0228310502283105,-0.010940919037199124,-0.561878887608115,0.939879007562429
5,12.0,645.0,397.0,56.0,65.0,1.0,-0.0014858841010401188,0.053613053613053616,0.16992500144231237,0.5322210386491828
6,12.0,614.0,410.0,90.0,108.0,1.0,0.019726858877086494,-0.02586206896551724,-0.5145731728297583,-0.2002986504858312
7,12.0,636.0,433.0,68.0,85.0,1.0,0.0029850746268656717,-0.04842105263157895,-0.11018291775042288,0.14519791553993572
8,12.0,636.0,369.0,104.0,140.0,1.0,-0.023255813953488372,0.029612756264236904,-0.7231597946411757,-0.5746941652673292
9,12.0,645.0,446.0,63.0,56.0,1.0,-0.005917159763313609,-0.046413502109704644,0.0,0.7472339296200333
10,12.0,645.0,383.0,56.0,79.0,1.0,-0.0014858841010401188,0.07109004739336493,0.16992500144231237,0.25080810350053434
11,12.0,630.0,391.0,71.0,70.0,1.0,0.010526315789473684,0.06103286384976526,-0.17246719600476554,0.4253058347326708
12,12.0,623.0,391.0,84.0,76.0,1.0,0.010526315789473684,0.053613053613053616,-0.4150374992788438,0.30666133823405195
13,12.0,637.0,454.0,64.0,48.0,1.0,0.004484304932735426,-0.05439330543933055,-0.02272007650008353,0.9696263509564811
14,12.0,639.0,432.0,63.0,47.0,1.0,0.0029850746268656717,-0.006593406593406593,0.0,1.0
15,12.0,611.0,433.0,93.0,69.0,1.0,0.0228310502283105,-0.032119914346895075,-0.561878887608115,0.44606439489946836
16,12.0,639.0,432.0,63.0,71.0,1.0,0.0029850746268656717,-0.032119914346895075,0.0,0.4048417321729553
17,12.0,623.0,378.0,81.0,161.0,1.0,0.013574660633484163,-0.013100436681222707,-0.36257007938470825,-0.7763280264369796
18,12.0,636.0,438.0,54.0,71.0,1.0,0.013574660633484163,-0.04439746300211417,0.22239242133644802,0.4048417321729553
19,12.0,621.0,421.0,70.0,81.0,1.0,0.024390243902439025,-0.019522776572668113,-0.15200309344504995,0.2147388487930127
20,12.0,630.0,378.0,79.0,160.0,1.0,0.004484304932735426,-0.013100436681222707,-0.3265008246771864,-0.7673392432097249
21,12.0,626.0,410.0,98.0,59.0,1.0,-0.0044444444444444444,0.029612756264236904,-0.6374299206152917,0.671945802315796
22,12.0,626.0,410.0,83.0,73.0,1.0,0.0074962518740629685,0.013452914798206279,-0.3977595078470083,0.3647642927976202
23,12.0,604.0,390.0,103.0,98.0,1.0,0.025954198473282442,0.029612756264236904,-0.709220603683302,-0.06012099243757091
24,12.0,623.0,382.0,81.0,93.0,1.0,0.013574660633484163,0.056074766355140186,-0.36257007938470825,0.015430040569605969
25,12.0,611.0,430.0,112.0,72.0,1.0,0.0074962518740629685,-0.030042918454935622,-0.8300749985576876,0.384663850235325
26,12.0,644.0,433.0,60.0,79.0,1.0,-0.002967359050445104,-0.0423728813559322,0.070389327891398,0.25080810350053434
27,12.0,623.0,378.0,81.0,97.0,1.0,0.013574660633484163,0.06103286384976526,-0.36257007938470825,-0.04532399050949031
28,12.0,639.0,386.0,104.0,95.0,1.0,-0.027496382054992764,0.04387990762124711,-0.7231597946411757,-0.015266756653310518
29,12.0,639.0,389.0,88.0,114.0,1.0,-0.016105417276720352,0.013452914798206279,-0.4821516951373807,-0.2783011624871043
30,12.0,617.0,369.0,108.0,130.0,1.0,0.0014903129657228018,0.041474654377880185,-0.777607578663552,-0.46777896135081715
31,12.0,565.0,410.0,144.0,95.0,1.0,0.054945054945054944,-0.010940919037199124,-1.1926450779423958,-0.015266756653310518
32,12.0,623.0,433.0,81.0,69.0,1.0,0.013574660633484163,-0.032119914346895075,-0.36257007938470825,0.44606439489946836
33,12.0,623.0,378.0,81.0,124.0,1.0,0.013574660633484163,0.02727272727272727,-0.36257007938470825,-0.39960745870923786
34,12.0,611.0,432.0,98.0,70.0,1.0,0.01818181818181818,-0.032119914346895075,-0.6374299206152917,0.4253058347326708
35,12.0,652.0,422.0,57.0,61.0,1.0,-0.011764705882352941,0.0,0.14438990933517493,0.623851514114751
36,12.0,637.0,395.0,90.0,84.0,1.0,-0.01466275659824047,0.034324942791762014,-0.5145731728297583,0.1622714288988771
37,12.0,617.0,378.0,90.0,121.0,1.0,0.015105740181268883,0.0319634703196347,-0.5145731728297583,-0.3642743855969572
38,12.0,644.0,391.0,60.0,111.0,1.0,-0.002967359050445104,0.013452914798206279,0.070389327891398,-0.23982701467246859
39,12.0,651.0,391.0,50.0,70.0,1.0,-0.005917159763313609,0.06103286384976526,0.3334237337251918,0.4253058347326708
40,12.0,636.0,433.0,68.0,79.0,1.0,0.0029850746268656717,-0.0423728813559322,-0.11018291775042288,0.25080810350053434
41,12.0,652.0,432.0,57.0,106.0,1.0,-0.011764705882352941,-0.06804123711340206,0.14438990933517493,-0.17333160288556176
42,12.0,652.0,432.0,57.0,52.0,1.0,-0.011764705882352941,-0.013100436681222707,0.14438990933517493,0.8541491335365452
43,12.0,645.0,447.0,63.0,55.0,1.0,-0.005917159763313609,-0.046413502109704644,0.0,0.7732291381529777
44,12.0,621.0,421.0,62.0,70.0,1.0,0.03067484662576687,-0.008771929824561403,0.023083613113041242,0.4253058347326708
45,12.0,639.0,438.0,51.0,67.0,1.0,0.012048192771084338,-0.040339702760084924,0.30485458152842093,0.488499661219865
46,12.0,659.0,397.0,67.0,128.0,1.0,-0.028901734104046242,-0.019522776572668113,-0.08880926695785589,-0.4454111483223626
47,12.0,644.0,397.0,94.0,144.0,1.0,-0.027496382054992764,-0.03624733475479744,-0.5773089281777208,-0.615336149764675
48,12.0,639.0,407.0,50.0,72.0,1.0,0.012048192771084338,0.020316027088036117,0.3334237337251918,0.384663850235325
49,12.0,604.0,390.0,100.0,112.0,1.0,0.027522935779816515,0.013452914798206279,-0.6665762662748083,-0.25276607037996673
50,12.0,662.0,392.0,56.0,131.0,1.0,-0.02608695652173913,-0.010940919037199124,0.16992500144231237,-0.478834149859813
51,12.0,653.0,416.0,54.0,51.0,1.0,-0.011764705882352941,0.024943310657596373,0.22239242133644802,0.8821635097061417
52,12.0,644.0,433.0,60.0,69.0,1.0,-0.002967359050445104,-0.032119914346895075,0.070389327891398,0.44606439489946836
53,12.0,565.0,422.0,266.0,178.0,0.0,,,,
54,12.0,604.0,333.0,199.0,155.0,0.0,,,,
55,12.0,532.0,327.0,172.0,212.0,0.0,,,,
56,12.0,502.0,387.0,269.0,214.0,0.0,,,,
57,12.0,612.0,465.0,75.0,46.0,0.0,,,,
58,12.0,680.0,414.0,58.0,55.0,0.0,,,,
59,12.0,594.0,458.0,85.0,82.0,0.0,,,,
60,12.0,652.0,410.0,25.0,27.0,0.0,,,,
61,12.0,604.0,205.0,122.0,270.0,0.0,,,,
62,12.0,607.0,464.0,90.0,77.0,0.0,,,,
63,12.0,635.0,479.0,63.0,89.0,0.0,,,,
